,Problem,Efficacy,Iterations,Elapsed Time
139,8x20_Chandrasekharan_Rajagopalan(1986b).txt,0.5833333333333334,1292,317.66499948501587
140,14x24_Askin_Subramanian(1987).txt,0.6716417910447762,2001,999.5683810710907
141,14x24_Askin_Subramanian(1987).txt,0.7101449275362319,2001,840.1300444602966
142,14x24_Askin_Subramanian(1987).txt,0.6363636363636364,2001,832.0596466064453
143,14x24_Askin_Subramanian(1987).txt,0.6716417910447762,2001,829.1060700416565
144,14x24_Askin_Subramanian(1987).txt,0.712121212121212,2001,783.0337948799133
145,14x24_Askin_Subramanian(1987).txt,0.6619718309859155,2001,838.8990511894226
146,14x24_Askin_Subramanian(1987).txt,0.6875,2001,853.7919688224792
147,14x24_Askin_Subramanian(1987).txt,0.64,2001,816.0488586425781
148,14x24_Askin_Subramanian(1987).txt,0.6543209876543209,2001,817.2871146202087
149,14x24_Askin_Subramanian(1987).txt,0.6666666666666666,2001,821.6945602893829
150,10x10_Mosier_Taube(1985a).txt,0.75,1001,244.51878428459167
151,10x10_Mosier_Taube(1985a).txt,0.75,1001,232.37378787994385
152,10x10_Mosier_Taube(1985a).txt,0.7241379310344828,1001,226.06585788726807
153,10x10_Mosier_Taube(1985a).txt,0.7333333333333333,1001,217.92231941223145
154,10x10_Mosier_Taube(1985a).txt,0.75,1001,216.32187509536743
155,10x10_Mosier_Taube(1985a).txt,0.75,1001,211.79371976852417
156,10x10_Mosier_Taube(1985a).txt,0.7333333333333333,1001,210.23902082443237
157,10x10_Mosier_Taube(1985a).txt,0.75,1001,210.65622186660767
158,10x10_Mosier_Taube(1985a).txt,0.75,1001,236.82391166687
159,10x10_Mosier_Taube(1985a).txt,0.7241379310344828,1001,238.91459226608276
160,10x10_Mosier_Taube(1985a).txt,0.7241379310344828,1001,230.1462264060974
161,10x10_Mosier_Taube(1985a).txt,0.75,1001,221.96572256088257
162,10x10_Mosier_Taube(1985a).txt,0.7333333333333333,1001,224.95819544792175
163,10x10_Mosier_Taube(1985a).txt,0.75,1001,214.78203535079956
164,10x10_Mosier_Taube(1985a).txt,0.75,1001,232.0293915271759
165,10x10_Mosier_Taube(1985a).txt,0.75,1001,235.04358744621277
166,10x10_Mosier_Taube(1985a).txt,0.75,1001,219.98663210868835
167,10x10_Mosier_Taube(1985a).txt,0.75,1001,218.5762960910797
168,10x10_Mosier_Taube(1985a).txt,0.75,1001,213.18108868598938
169,10x10_Mosier_Taube(1985a).txt,0.75,1001,218.469074010849
